id,week,team,points,talent,outcome,spread,home,win,cover,totalYards,rushingYards,netPassingYards,yardsPerPass,yardsPerRushAttempt,firstDowns,turnovers,defensiveTDs,sacks,kickReturnYards,kickReturnTDs,points_MA,totalYards_MA,rushYards_MA,passYards_MA,firstDowns_MA,turnovers_MA,defensiveTDs_MA,sacks_MA,kickReturnYards_MA,kickReturnTDs_MA
401110838,10,Florida,17,835.68,7,6.5,1,0,0,278,21,257,7.8,1.1,18,0,0,0,18,0,32.0,407.75,148.0,259.75,22.0,1.5,0.0,3.25,6.75,0.0
401110816,6,Tennessee,14,830.34,29,24.5,1,0,0,343,70,273,8.3,2.4,20,2,0,0,0,0,26.0,355.25,154.5,200.75,18.75,2.0,0.25,3.5,37.5,0.0
401110732,1,Vanderbilt,6,605.06,24,23.5,1,0,0,225,116,109,3.4,3.9,17,1,0,0,35,0,,,,,,,,,,
401110849,12,Auburn,14,843.93,7,3.0,1,0,0,329,84,245,4.9,2.3,22,1,0,1,0,0,26.0,388.5,179.75,208.75,19.5,1.75,0.0,4.0,43.75,0.0
401132981,15,LSU,37,906.17,-27,-7.0,1,1,1,481,132,349,9.2,3.7,26,0,0,3,0,0,52.5,609.5,194.75,414.75,30.25,1.0,0.0,2.5,11.25,0.0
401110867,14,Georgia Tech,7,629.1,45,28.5,1,0,0,139,99,40,1.9,2.7,7,1,0,1,34,0,16.5,273.75,137.0,136.75,14.0,1.75,0.0,1.0,61.25,0.0
401110844,11,Florida,56,835.68,-56,-27.0,1,1,1,560,150,410,10.3,5.2,33,2,1,6,0,0,26.75,371.75,113.25,258.5,20.75,1.5,0.0,1.25,8.5,0.0
401110871,14,Tennessee,28,830.34,-18,-23.0,1,1,0,417,297,120,7.1,7.2,16,1,0,3,0,0,28.0,402.25,112.25,290.0,19.75,0.75,0.5,3.25,0.0,0.0
401110785,2,Purdue,42,607.4,-18,-7.0,1,1,1,540,31,509,9.8,1.7,27,1,0,6,51,0,31.0,519.0,96.0,423.0,24.0,5.0,0.0,2.0,36.0,0.0
401110839,10,South Carolina,24,762.68,-17,-15.0,1,1,1,440,205,235,7.6,4.2,25,1,0,2,25,0,23.0,367.0,171.0,196.0,18.75,0.5,0.5,3.5,25.25,0.0
401110814,6,Ole Miss,31,717.92,-25,-7.0,1,1,1,512,413,99,5.5,9.4,15,0,0,6,0,0,30.5,485.75,228.25,257.5,24.75,1.25,0.25,5.5,56.0,0.25
401110866,14,Florida,40,835.68,-23,-17.0,1,1,1,467,77,390,8.1,3.1,26,0,0,8,40,0,33.5,394.5,95.25,299.25,21.75,0.75,0.25,3.0,8.5,0.0
401112479,7,Clemson,45,863.03,-31,-26.5,1,1,1,552,320,232,6.1,6.0,31,2,2,3,0,0,34.5,449.5,175.5,274.0,22.75,1.5,0.5,7.0,27.75,0.0
401112487,8,Wake Forest,22,563.24,-2,3.0,1,1,1,424,116,308,8.1,2.9,20,0,0,4,16,0,39.75,537.75,219.5,318.25,28.75,1.5,0.0,3.0,42.0,0.0
401112502,11,Boston College,31,564.95,7,-1.0,1,0,0,508,281,227,7.8,4.4,31,1,0,0,77,0,37.25,490.75,320.25,170.5,21.5,1.25,0.25,1.75,81.25,0.0
